fileName,filepath,link
b0e7a7d7a507457abbd7431e08af4b09.txt,data/küb/,https://titck.gov.tr/storage/kubKtAttachments/fe9b8a6d45134.pdf
a53b889412744c3ea1c8f41cc081de98.txt,data/küb/,https://titck.gov.tr/storage/kubKtAttachments/d905ca0978514.pdf
b73a59c3321b4af8a4626de2bb2dca44.txt,data/küb/,https://titck.gov.tr/storage/kubKtAttachments/cbcfc20763057.pdf
44219598869d4e11bac85da40a8164c8.txt,data/küb/,https://titck.gov.tr/storage/kubKtAttachments/4b0447b719465.pdf
30801d60a0eb46dc81bb6f8bf441b3b3.txt,data/küb/,https://titck.gov.tr/storage/kubKtAttachments/a4e1348793520.pdf
98563bb56cef425085f64c048e11419d.txt,data/küb/,https://titck.gov.tr/storage/kubKtAttachments/276f34d426633.pdf
c1a523afa6e548c4a651379669356170.txt,data/küb/,https://titck.gov.tr/storage/kubKtAttachments/81b0cb2b14791.pdf
6b054dec7e16478f9bdf3b18a4b71ac2.txt,data/küb/,https://titck.gov.tr/storage/kubKtAttachments/fa81969334766.pdf
9531cc50ec25424d85b9b317d88d0a9c.txt,data/küb/,https://titck.gov.tr/storage/kubKtAttachments/5f4828eb38825.pdf
effce2bc9a7b479cbe1ab199e952a38c.txt,data/küb/,https://titck.gov.tr/storage/kubKtAttachments/9ba89c2f17704.pdf
2bff2bb90dd541348eeb1a32e75eec12.txt,data/küb/,https://titck.gov.tr/storage/Archive/2022/kubKtAttachments/Abilify10KB_6f1e52f0-df4e-491e-987a-baa35e1319cc.pdf
a53b889412744c3ea1c8f41cc081de98.txt,data/kt/,https://titck.gov.tr/storage/kubKtAttachments/0397069d78052.pdf
b0e7a7d7a507457abbd7431e08af4b09.txt,data/kt/,https://titck.gov.tr/storage/kubKtAttachments/629b3ece81873.pdf
b73a59c3321b4af8a4626de2bb2dca44.txt,data/kt/,https://titck.gov.tr/storage/kubKtAttachments/c415480e47649.pdf
44219598869d4e11bac85da40a8164c8.txt,data/kt/,https://titck.gov.tr/storage/kubKtAttachments/b08adba899966.pdf
98563bb56cef425085f64c048e11419d.txt,data/kt/,https://titck.gov.tr/storage/kubKtAttachments/6af6308b64660.pdf
c1a523afa6e548c4a651379669356170.txt,data/kt/,https://titck.gov.tr/storage/kubKtAttachments/a799185b54887.pdf
30801d60a0eb46dc81bb6f8bf441b3b3.txt,data/kt/,https://titck.gov.tr/storage/kubKtAttachments/897a396d58342.pdf
6b054dec7e16478f9bdf3b18a4b71ac2.txt,data/kt/,https://titck.gov.tr/storage/kubKtAttachments/35b2694026148.pdf
9531cc50ec25424d85b9b317d88d0a9c.txt,data/kt/,https://titck.gov.tr/storage/kubKtAttachments/eb9cca0111849.pdf
effce2bc9a7b479cbe1ab199e952a38c.txt,data/kt/,https://titck.gov.tr/storage/kubKtAttachments/cf6f277d92502.pdf
